Construct,Activator type,EPCAM_toxicity_score,CXCR4_toxicity_score,Toxicity_score_average
A10_A11,Bipartite,0.3938353801683373,0.4950542073018278,0.44444479373508256
A10_A12,Bipartite,-0.0776827078359743,0.0197447388156274,-0.02896898451017345
A10_A13,Bipartite,-0.1223537049602037,0.1086400855796391,-0.006856809690282302
A10_A14,Bipartite,-0.6440443223081472,-0.3642071300542366,-0.5041257261811919
A10_A15,Bipartite,0.914193594674517,0.6519485365698345,0.7830710656221758
A10_A16,Bipartite,-0.7609606393801399,-0.8815572493996966,-0.8212589443899183
A10_A17,Bipartite,-0.4002823816849002,-0.5213382537502894,-0.46081031771759484
A10_A18,Bipartite,-0.953273502325362,-0.7956589231498756,-0.8744662127376188
A10_A19,Bipartite,-0.4386574350075524,-0.5735088092166424,-0.5060831221120974
A10_A20,Bipartite,-0.4618698231279739,-0.0892834248085875,-0.2755766239682807
A10_A21,Bipartite,-0.3027302255894473,0.1383957219682216,-0.08216725181061284
A10_A22,Bipartite,-0.5198735912486081,-0.5523628086470241,-0.5361181999478162
A10_A23,Bipartite,-0.4447016423111472,-0.2912938149961008,-0.367997728653624
A10_A24,Bipartite,0.3918675387422773,0.6542455829214541,0.5230565608318657
A10_A25,Bipartite,-0.6407810904003156,-0.3850244527230378,-0.5129027715616767
A11_A01,Bipartite,0.2661868444578513,0.891510066304779,0.5788484553813151
A11_A02,Bipartite,0.5204858084471509,0.8311123645134714,0.6757990864803112
A11_A03,Bipartite,0.4372833189267122,0.6613391825794781,0.5493112507530952
A11_A04,Bipartite,0.3609320627296392,0.2551239142226825,0.30802798847616086
A11_A05,Bipartite,0.5476094407701549,0.3339042504732905,0.4407568456217227
A11_A06,Bipartite,0.6443486308401459,-0.1272808334977022,0.2585338986712219
A11_A07,Bipartite,0.0032151134188812,-0.3511302799205911,-0.17395758325085495
A11_A08,Bipartite,0.0100369784738198,0.1738361921194628,0.0919365852966413
A11_A09,Bipartite,-0.6648719066545135,-0.085354876987982,-0.3751133918212477
A11_A10,Bipartite,0.0716391188092381,0.3074618656839603,0.1895504922465992
A11_A11,Bipartite,0.0291663221765315,-0.024739504792128,0.002213408692201749
A11_A12,Bipartite,0.5926458597841227,0.666909168898667,0.6297775143413948
A11_A13,Bipartite,0.914547034258852,0.3840397716578365,0.6492934029583443
A11_A14,Bipartite,0.6313393268710747,0.5315190702409565,0.5814291985560156
A11_A15,Bipartite,0.8853315181998944,0.9529898606487152,0.9191606894243047
A11_A16,Bipartite,0.413267455671566,0.7556153749460672,0.5844414153088167
A11_A17,Bipartite,0.6318306166950979,0.5350861037316101,0.5834583602133541
A11_A18,Bipartite,-0.0843128718182518,0.0231713765511931,-0.03057074763352935
A11_A19,Bipartite,0.1531706473552169,0.2757192223182523,0.2144449348367346
A11_A20,Bipartite,0.614884921318364,0.2115769093927004,0.41323091535553225
A11_A21,Bipartite,0.6093727795018167,0.6272503774671205,0.6183115784844686
A11_A22,Bipartite,0.6729214909163133,0.8802359486719064,0.7765787197941099
A11_A23,Bipartite,-0.0466735419121093,0.7487538117133464,0.3510401349006186
A11_A24,Bipartite,0.7468554597344808,-0.0164975418197037,0.3651789589573885
A11_A25,Bipartite,0.4903976845277425,0.4455178316986503,0.4679577581131964
A12_A01,Bipartite,0.0365541977842062,0.2231307261328023,0.12984246195850424
A12_A02,Bipartite,0.8958572849813056,-0.0793039551768674,0.4082766649022191
A12_A03,Bipartite,0.0547280184498022,-0.336373926955495,-0.1408229542528464
A12_A04,Bipartite,0.6148772480703156,-0.5611463900638555,0.02686542900323008
A12_A05,Bipartite,-0.0325572493862751,0.1828650843996576,0.07515391750669125
A12_A06,Bipartite,0.877914050923844,0.3649127140030521,0.621413382463448
A12_A07,Bipartite,0.3718815404525142,0.0500916075665879,0.21098657400955106
A12_A08,Bipartite,-0.6087695736936667,-0.3216878795940807,-0.4652287266438737
A12_A09,Bipartite,0.7085696139940679,0.3961434222515443,0.5523565181228061
A12_A10,Bipartite,-0.319529316310545,-0.4481071522161581,-0.38381823426335154
A12_A11,Bipartite,0.8065662007717469,0.4125180817838287,0.6095421412777878
A12_A12,Bipartite,0.3254044858660582,0.0653681341182706,0.1953863099921644
A12_A13,Bipartite,-0.2681834755549896,-0.5727171654712856,-0.4204503205131376
A12_A14,Bipartite,-0.1530739408677283,0.4061608610655179,0.1265434600988948
A12_A15,Bipartite,0.603119673738163,-0.3245135821394432,0.1393030457993599
A12_A16,Bipartite,0.2618476121141373,-0.4469874336081412,-0.09256991074700194
A12_A17,Bipartite,-0.2925844166560976,-0.1305378034973509,-0.21156111007672423
A12_A18,Bipartite,-0.6780422518695485,-1.3616300519805655,-1.019836151925057
A12_A19,Bipartite,-0.123815397048599,-0.3904912127573753,-0.25715330490298716
A12_A20,Bipartite,-0.284514063092309,-0.6205396380991032,-0.4525268505957061
A12_A21,Bipartite,0.2122592404509937,-0.194636497111796,0.008811371669598847
A12_A22,Bipartite,0.1147639054240542,0.1409576890978394,0.1278607972609468
A12_A23,Bipartite,0.1079915823113088,-0.3035585237821387,-0.09778347073541496
A12_A24,Bipartite,0.6545754446576125,0.4605866221304872,0.5575810333940499
A12_A25,Bipartite,-0.226943532164486,-0.8165194569701972,-0.5217314945673416
A13_A01,Bipartite,0.6921000091850322,0.7567467777380515,0.7244233934615418
A13_A02,Bipartite,0.0862208317263698,0.7310034867331245,0.40861215922974714
A13_A03,Bipartite,0.2049121240931056,0.2764008445719071,0.24065648433250636
A13_A04,Bipartite,0.2056150228658965,-0.0985010764005256,0.05355697323268545
A13_A05,Bipartite,0.5299005116341834,-0.019598557480655,0.2551509770767642
A13_A06,Bipartite,0.5327902709415328,0.4049713437390051,0.46888080734026893
A13_A07,Bipartite,-0.2360578875536947,0.2374329950144988,0.0006875537304020518
A13_A08,Bipartite,-0.0778851151311526,0.0251134459202769,-0.026385834605437846
A13_A09,Bipartite,0.7474922647580974,0.6679125043673712,0.7077023845627343
A13_A10,Bipartite,0.1982122524180552,0.1409380015755112,0.1695751269967832
A13_A11,Bipartite,0.7361700718887176,0.5023681156643423,0.6192690937765299
